Series, VM sku family, Processor
D, Dv3, Intel® XEON ® E5-2673 v4
D, Dv4,  Intel® Xeon® Platinum 8272CL
D, Ddv4,  Intel® Xeon® Platinum 8272CL
D, Dv5,  Intel® Xeon® Platinum 8370C
D, Ddv5,  Intel® Xeon® Platinum 8370C
D, Dav4, AMD EPYC™ 7452
D, Dasv4, AMD EPYC™ 7452
D, Dasv5, AMD EPYC™ 7763v
D, Dadsv5, AMD EPYC™ 7763v
D, Dpsv5, Ampere Altra 64-bit Multi-Core Arm-based
D, Dpdsv5, Ampere Altra 64-bit Multi-Core Arm-based
E, Ev4, Intel® Xeon® Platinum 8272CL
E, Edv4, Intel® Xeon® Platinum 8272CL
E, Ev5,  Intel® Xeon® Platinum 8370C
E, Edv5,  Intel® Xeon® Platinum 8370C
E, Eav4, AMD EPYC™ 7452
E, Easv4, AMD EPYC™ 7452
E, Easv5, AMD EPYC™ 7763v
E, Eadsv5, AMD EPYC™ 7763v
E, Epsv5, Ampere Altra 64-bit Multi-Core Arm-based
E, Epdsv5, Ampere Altra 64-bit Multi-Core Arm-based
F, Fsv2, Intel Xeon® Platinum 8168
G, G*,  Intel® Xeon® processor E5 v3 family
H, HB*, AMD EPYC™ 7003-serie
H, HC*, Intel Xeon Platinum 8168
Ls, Ls, Intel E5 Xeon v3
Ls, Lsv2, AMD EPYC™ 7551
Ls, Lasv3, AMD EPYC™ 7763v
Ls, Lsv3, Intel® Xeon® Platinum 8370C
M, Mv2, Intel® Xeon® Platinum 8180M 
N, NC, NVIDIA’s Tesla V100 GPU
N, ND, NVIDIA Tesla P40 GPU
N, NDv2, NVIDIA Tesla V100 GPU
N, NV, NVIDIA Tesla M60 GPU



